SessionNum,Elapsed Time,Clock Time,ProbSleepOnset,ProbDistraction,ProbLowEng,ProbHighEng,CogState,ProbFBDSWorkload,ProbBDSWorkload,ProbAveWorkload
230100000,00:00:00:000,00:00:00:000,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
230100000,00:00:01:000,00:00:00:000,0.000000000012,0.050844393671,0.356670647860,0.592484951019,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:02:000,00:00:00:000,0.000000000408,0.001593807247,0.617498457432,0.380907744169,0.600000,-1.000000,-1.000000,-1.000000
230100000,00:00:03:000,00:00:00:000,0.012116130441,0.000000000000,0.521045804024,0.466838091612,0.600000,-1.000000,-1.000000,-1.000000
230100000,00:00:04:000,00:00:00:000,0.000222758972,0.000000000009,0.025255704299,0.974521517754,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:05:000,00:00:00:000,0.000163590579,0.000000004973,0.000268374046,0.999568045139,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:06:000,00:00:00:000,0.000002991879,0.000000000859,0.256133586168,0.743863403797,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:07:000,00:00:00:000,0.000000000132,0.000240345224,0.000940928527,0.998818755150,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:08:000,00:00:00:000,0.000000140256,0.000206296638,0.085699938238,0.914093613625,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:09:000,00:00:00:000,0.000000000480,0.000000251818,0.266479104757,0.733520627022,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:10:000,00:00:00:000,0.000000004353,0.000009825155,0.452446967363,0.547543168068,0.900000,-1.000000,-1.000000,-1.000000
230100000,00:00:11:000,00:00:00:000,0.000001422355,0.000000000000,0.992362856865,0.007635709830,0.600000,-1.000000,-1.000000,-1.000000
230100000,00:00:12:000,00:00:00:000,0.000000018048,0.002629455877,0.323431134224,0.673939406872,0.900000,-1.000000,-1.000000,-1.000000
